cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
312,511,7037,0.0010309326145560025,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.5003195341901584
185,511,8779,0.0012675259531169253,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7361960424898959
73,511,1627,0.00023573921921410436,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8740517107911442
41,511,2328,0.0003385562581180076,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8270173874275524
141,511,4749,0.0006857913957989474,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8050452595496623
180,511,1892,0.0002747961355231784,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8520487957460119
122,511,4092,0.0005907439984265061,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8204199855177408
127,511,13880,0.002010437618052118,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.6360251216090417
154,511,3908,0.0005574606690997972,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8623798288551607
252,511,2807,0.0004060085971026517,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8431799770943322
25,511,7224,0.001023927856508229,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8294033604515237
285,511,2929,0.00042551304266700283,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8141792228390167
5,511,2338,0.00033345863239523044,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8937972699811488
194,511,3996,0.0005734765772422698,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8449871016544795
259,511,2140,0.0003134425508295764,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.7316614420062696
108,511,2947,0.0004114626501632265,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.9077274719769554
120,511,3265,0.000472367727439715,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8296684664945092
254,511,3083,0.0004515127914674131,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.6818697760808998
20,511,3013,0.0004276999594505384,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.887587210386897
78,511,4425,0.0006469441835799444,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.6755270394133822
237,511,2657,0.0003854446333731693,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8322759839661649
112,511,5384,0.0007753307966108128,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8062891271497445
34,511,2242,0.0002951255362734622,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.9440080916049599
111,511,4582,0.0006519777964040687,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8565749522646884
64,511,3569,0.00051055145665417,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8620702981584897
319,511,3605,0.0005272625785442313,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.6975671140939598
134,511,5520,0.0008030698351100091,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.729112992270887
2,511,1618,0.00022481092019644884,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.9345244117111466
