cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
62,507,4124,0.009600805450018058,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3032606859266768
23,507,2777,0.0065274620961599,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.21509327303561335
15,507,3403,0.007950202047475709,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3048718210601573
67,507,2052,0.004815647731151313,0.0,0.0,0.0,0.0,0.3699723672090881
1,507,4858,0.010982313630266187,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.5123469182895001
27,507,5698,0.013207672581398697,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.25555265220799583
29,507,4583,0.010684679936717822,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.23851458004486167
10,507,4601,0.010531653616573291,0.0,0.0,0.0,0.0,0.45359539219761297
37,507,3773,0.008752653221402708,0.0,0.0,0.0,0.0,0.3842513259893921
47,507,2768,0.006466104218119753,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.37474587756946015
53,507,6883,0.01568617493738709,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3671386539168812
46,507,5250,0.012180973840425208,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.27123820099944473
59,507,4915,0.011399554052116092,0.0,0.0,0.0,0.0,0.30015662822155775
8,507,4895,0.011200475498013628,0.0,0.0,0.0,0.0,0.4391291893440275
31,507,3590,0.008374771100320262,0.0,0.0,0.0,0.0,0.3149508634672264
25,507,3009,0.007030990104712427,0.0,0.0,0.0,0.0,0.34286962218825073
39,507,3426,0.007913835931605379,0.0,0.0,0.0,0.0,0.45889599620942906
43,211,373,0.000884202180397991,0.0,0.0,0.0,0.0,0.3798836242726517
69,499,1783,0.004202644159439481,0.0,0.0,0.0,0.0,0.2707566462167689
56,507,6270,0.014255351295936636,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.4120956399437412
52,504,2384,0.005590506603032454,0.0,0.0,0.0,0.0,0.34089024053082667
50,416,1150,0.002718447962967561,0.0,0.0,0.0,0.0,0.2682150811326758
26,395,1342,0.0031596182046880967,0.0,0.0,0.0,0.0,0.4075055187637969
34,311,971,0.0022992201183466327,0.0,0.0,0.0,0.0,0.17746717492587885
28,497,1886,0.0044445254793448906,0.0,0.0,0.0,0.0,0.25923016496465046
17,507,3716,0.008642566488778489,0.0,0.0,0.0,0.0,0.35368292895034353
54,507,4916,0.011307646077094143,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.39499107747215556
61,506,2600,0.006071341555882951,0.0,0.0,0.0,0.0,0.40064545873674506
6,507,4017,0.009150937946608506,0.0,0.0,0.0,0.0,0.518806899856253
Overall,34546,420877,0.6247859678017753,,,,,
